,Unnamed: 0,0,1,2,3
10,10,11,according,보,"['보', '통', '다음', '성구로', '접속사적으로', '에', '따라서', '준하여', '나름으로', '빈부에', '따라', '사물을', '보는', '눈이', '다르다', '전치사적으로', '에', '따라', '에', '의하여', '나름으로', '저자별로', '된', '배열', '계획대로', '가고', '안', '가고는', '형편', '나름', '이', '말하는', '바', '에', '의하면', '성서', '신문', '에', '의하면', '영', '그건', '사정', '나름이다', '생략', '어법']"
11,11,12,account,기본적으로는,"['기본적으로는', '계산', '의', '뜻', '금전의', '계산', '금전', '거래', '계좌', '계산서', '변명', '설명', '평가', '고려', '을', '이라고', '생각하다', '기술', '이야기', '금전상의', '계산', '셈', '회계', '계정', '계산서', '청구서', '속담', '셈이', '빨라야', '친분이', '오래간다', '은행', '등과의', '거래', '예금', '계좌', '구좌', '예금', '액', '외상', '거래', '금전', '책임의', '처리에', '관한', '보고', '전말서', '답변', '변명', '설명', '사건', '등에', '대한', '기술', '기사', '차례를', '따라', '하는', '자세한', '이야기', '말', '사람에', '따라', '말이', '다르다', '근거', '이유', '평가', '고려', '중요성', '이익', '덕', '고객', '단골', '받을', '돈을', '청구하다', '답변', '해명', '을', '요구하다', '의', '책임을', '추궁하다', '해명', '설명', '을', '요구하다', '책망하다', '누구', '말을', '어디서', '들어도', '계산하다', '앞으로', '달다', '와', '거래를', '그만두다', '은행과', '거래', '관계를', '끊다', '은', '수지가', '맞다', '맞지', '않다', '의', '계정으로', '팔다', '등', '깎아내리다', '비방하다', '상대', '적을', '지우다', '처치하다', '죽이다', '잡다', '을', '잘', '해내다', '칭찬하다', '경기', '등에서', '당당히', '이기다', '훌륭하게', '해내다', '을', '설명', '답변', '하다', '의', '전말을', '밝히다', '의', '이야기를', '하다', '미', '저승에', '가다', '죽다', '와', '거래가', '있다', '은행에', '계좌가', '있다', '을', '매우', '중요시하다', '을', '경시하다', '와', '거래하고', '을', '꼼꼼하게', '주의', '깊게', '기장하다', '남김', '없이', '지켜보다', '치부', '기장', '하다', '경리를', '맡아보다', '을', '예기하다', '기대하다', '을', '중요시하다', '하지않다', '중요한', '하찮은', '내금', '조로', '내금', '외상', '판매', '로', '할부로', '의', '이유로', '때문에', '모든', '점에서', '어느', '모로', '보나', '기어코', '결코', '하지', '않다', '남의', '셈', '비용', '으로', '남을', '위하여', '독립하여', '자립하여', '자기', '책임으로', '자기', '의', '이익', '을', '위하여', '그', '이', '때문에', '와', '거래를', '시작하다', '은행에', '계좌를', '개설하다', '트다', '셈을', '치르다', '의', '셈에', '달다', '해명', '답변', '하다', '결산', '보고를', '하다', '미불금의', '청산', '청구', '서를', '보내다', '을', '없애다', '죽이다', '와의', '거래를', '청산하다', '에게', '원한을', '풀다', '을', '고려하다', '참작하다', '을', '무시하다', '최후의', '심판', '날', '을', '이용', '활용', '하다', '을', '이라고', '생각하다', '여기다', '간주하다', '그들은', '자기들이', '그', '분야에서', '위대하다고', '스스로', '생각하고', '있었다', '그는', '유죄라고', '생각되었다', '을', '탓으로', '돌리다', '책임지우다', '병으로', '인한', '그의', '울화', '신경질', '사람이', '의', '이유를', '밝히다', '설명하다', '사실이', '의', '원인', '설명', '이', '되다', '내가', '그', '사건에', '대해', '설명하겠다', '그의', '실패는', '부주의', '탓이다', '위탁금', '등의', '용도', '처리', '에', '대해', '설명', '보고', '하다', '행위', '등의', '책임을', '지다', '적', '사냥감', '등을', '잡다', '죽이다', '사로잡다', '몇', '점', '따다', '의', '비율을', '차지하다', '테리어가', '그', '중의', '둘을', '잡았다', '소중히', '여겨지다', '여겨지지', '않다', '속담', '취미', '기호', '는', '각양각색']"
12,12,13,acre,밭,"['밭', '의', '뜻에서', '에이', '커', '면적의', '단위', '약', '약', '평', '밭', '경지', '토지', '넓은', '토지', '대량', '다수']"
13,13,14,across,기본적으로는,"['기본적으로는', '가로질러', '의', '뜻', '을', '가로질러', '의', '맞은편에', '십자형으로', '교차하여', '지름으로', '가로질러', '맞은편에', '가로질러', '맞은편에', '십자형으로', '교차하여', '팔짱을', '끼고', '책상다리를', '하고', '지름으로', '직경', '마일의', '호수', '미', '의', '맞은편에', '미', '의', '책임', '임무', '이다', '맞은편으로', '건너다', '넘어가다', '미', '청중', '등에', '호소하다', '이해되다', '시키다', '을', '가로질러', '을', '건너서', '의', '맞은편으로', '강에', '놓인', '다리', '도로를', '횡단하다', '을', '가로지른', '곳에', '의', '맞은', '반대', '편에', '강', '건너에', '살다', '와', '교차하여', '에', '걸쳐서', '라이플총을', '어깨에', '메고', '도로로', '가지', '않고', '들판을', '횡단하여', '온', '나라', '세계', '에', '말을', '타고', '있다']"
14,14,15,act,의회에서의,"['의회에서의', '법률적', '행위의', '뜻에서', '행위', '법령', '연극의', '연기의', '한', '구분이라는', '뜻에서', '막', '행위', '짓', '소행', '친절한', '행위', '단시간의', '개개의', '행위를', '말한다', '보통', '어떤', '기간에', '걸쳐', '단계적으로', '완료한', '행위를', '말한다', '행동', '중', '현행', '절도', '현장에서', '체포되었다', '종종', '연극의', '막', '시늉', '꾸밈', '연극', '단막극', '제', '막', '제', '장에서', '쇼', '서커스', '등의', '프로그램', '중의', '하나', '보통', '법정', '의회의', '결의', '결의서', '종종', '법령', '조례', '영', '학위', '논문의', '공개', '구술', '시험', '단수', '취급', '사도', '행전', '후일의', '증거', '물', '불가항력', '천재', '특사', '법', '사면령', '법적', '필요성이나', '사무', '계약상의', '것이', '아니라', '호의로', '한', '행위', '영', '미', '법령', '법률', '불가항력', '선전포고', '없는', '전쟁', '행위', '남이', '하고', '있는', '이득이', '있을', '것', '같은', '일에', '가담하다', '에', '가담하다', '의', '공범자이다', '짤막한', '연기', '연예', '를', '해보이다', '연극', '하다', '시늉을', '하다', '꾀병을', '부리다', '사도', '행전', '하다', '행하다', '연기를', '하다', '역을', '맡아', '하다', '극을', '상연하다', '햄릿', '역을', '하다', '햄릿으로', '출연하다', '보통', '단수', '명사를', '목적어로', '하여', '의', '시늉을', '하다', '인', '체하다', '바보짓을', '하다', '어린애', '짓을', '하다', '행동하다', '처신하다', '행하다', '실행하다', '에', '따라', '행동하다', '을', '따르다', '사람은', '행동', '여하로', '판단된다', '남의', '충고를', '거역하다', '친구의', '조언에', '따라', '행동하다', '의무감에서', '행동하다', '보어를', '수반하여', '처럼', '처신하다', '인', '하는', '체하다', '가장하다', '화가', '난', '체하다', '늙은', '지친', '듯이', '처신하다', '미친', '사람처럼', '행동하다', '직무를', '맡아', '보다', '대리를', '하다', '대행하다', '의장', '고문', '통역', '의', '일을', '맡아', '보다', '의', '뒤에', '오는', '명사는', '종종', '무관사', '당신이', '없는', '동안', '제가', '대리를', '맡겠습니다', '기계가', '정상적으로', '작동하다', '움직이다', '브레이크가', '듣다', '일이', '잘되어', '가다', '작용하다', '약', '등이', '듣다', '브레이크가', '듣지', '않았다', '이', '약은', '잘', '듣는다', '이', '약은', '그의', '신경에', '효험이', '있었다', '사람이', '무대에', '서다', '출연하다', '각본이', '상연되다', '상연할', '수', '있다', '극', '역이', '상연하기에', '알맞다', '연기를', '잘하다', '그의', '각본은', '상연에', '부적합하다', '그녀는', '무대에', '설', '것이다', '미', '결정하다', '판결을', '내리다', '에', '반대하다', '에', '불리한', '일을', '하다', '하나의', '역을', '맡아', '하다', '시늉을', '하다', '가장하다', '연극', '하다', '안내', '역을', '하다', '의', '대리를', '하다', '에', '작용하다', '주의', '충고', '등', '을', '좇아', '행동하다', '미', '의결하다', '미', '점잖게', '행동하다', '이야기', '역', '등을', '실연', '하다', '연출하다', '욕망', '등을', '실행에', '옮기다', '억압된', '감정', '등을', '행동화하다', '자기의', '본분을', '다하다', '어릿광대역을', '맡아', '하다', '바보', '시늉을', '하다', '어리석은', '짓을', '하다', '악한', '나리', '처럼', '행동하다', '의', '역을', '하다', '을', '흉내내다', '사납게', '굴다', '떠들다', '장난치다', '기계', '등이', '기능이', '나빠지다', '증세', '등이', '다시', '악화하다', '재발하다', '주의', '등을', '실행하다']"
15,15,16,action,행동,"['행동', '활동', '실', '행', '정신', '활동', '활동가', '학자', '등에', '대하여', '정치가', '군인', '탐험가', '등', '구체적인', '행동', '행위', '평소의', '행위', '행실', '거동', '친절한', '행위', '속담', '행위는', '말보다도', '웅변적이다', '작용', '화학', '작용', '배우의', '몸짓', '연기', '영화', '등에서', '손에', '땀을', '쥐게', '하는', '활동적', '연기', '가', '많은', '장면', '액션', '보통', '운동', '선수', '말', '등의', '거동', '보통', '기계의', '작동', '움직임', '기계', '장치', '총', '등의', '기능', '작동', '장치', '피아노', '등의', '기계', '장치', '액션', '보통', '신체', '기관', '의', '움직임', '작용', '특히', '변통', '자연력', '약품', '등의', '작용', '방책', '조치', '교전', '전투', '소설', '연극', '등의', '줄거리', '의', '전개', '그림', '등에', '등장한', '인물의', '움직임', '미', '결정', '판결', '의결', '소송', '가장', '활기', '자극', '흥미', '가', '있는', '곳', '액션', '연기', '시작', '변통', '전투를', '그치다', '을', '상대로', '하여', '고소하다', '활동시키다', '하다', '발휘하다', '되다', '실행하다', '되다', '전투에', '참가시키다', '하다', '전투', '준비를', '하다', '활동', '전투', '을', '개시하다', '활동하여', '실행하여', '기계', '등이', '움직여', '작동하여', '교전', '전투', '중에', '전사하다', '경기', '시합', '중에', '작업', '계통', '행동의', '방침', '작용선', '기계', '등이', '움직이지', '않아', '사람이', '부상', '질병', '등으로', '움직일', '수', '없게', '되어', '군함', '전투기', '등이', '전투력을', '상실하여', '을', '운전시키다', '실행에', '옮기다', '기계를', '움직이지', '않게', '하다', '군함', '등의', '전투력을', '잃게', '하다', '분발시키다', '전투에', '참가하다', '활발해지다', '조치를', '취하다', '고소하다', '미', '의결', '하다', '영', '고소하다']"
16,16,17,active,활동적인,"['활동적인', '활발한', '민', '활한', '적극적인', '의욕적인', '상황', '등이', '활기', '있는', '활발한', '시장은', '활발하다', '활동중인', '실제의', '현실의', '법률', '등이', '유효한', '효력', '있는', '현역의', '능동', '태', '의', '다기능으로', '프로그램된', '고성능의', '보통', '능동태', '에', '자진하여', '관계하다', '에', '투신하다', '에서', '활약하다']"
17,17,18,actual,현실의,"['현실의', '실제상의', '사실상의', '현행의', '현재의', '현상', '사실상']"
18,18,19,actually,실지로,"['실지로', '실제로', '사실은', '실은', '설마', '하겠지만', '참으로', '정말로', '그는', '정말', '거절했어요', '현시점에서', '현재', '현', '정부']"
19,19,20,add,더하다,"['더하다', '보태다', '추가하다', '명부에', '이름', '하나를', '추가하다', '홍차에', '설탕을', '넣다', '더하기', '은', '둘', '이상의', '것을', '합치다', '합계하다', '와', '를', '합치다', '산입하다', '포함시키다', '잊지', '말고', '나를', '포함시켜', '주게', '부언하다', '덧붙여', '말하다', '그는', '가까운', '시일', '안에', '다시', '오겠다고', '덧붙였다', '더하다', '첨가하다', '증가하다', '그', '풍경의', '아름다움을', '더해주다', '덧셈을', '하다', '덧셈과', '뺄셈을', '배우다', '을', '덧붙이다', '보태다', '합계하다', '계산이', '맞다', '이해가', '가다', '합계', '이', '되다', '요컨대', '이라는', '뜻이', '되다', '을', '의미하다', '보통', '문두에', '써서', '이', '에', '더하여', '그', '외에', '또', '신문', '잡지', '등의', '추가', '원고', '기사', '가산']"
20,20,21,addition,부가,"['부가', '추가', '덧셈', '가법', '쉬운', '덧셈', '문제', '부가물', '증축', '늘어난', '토지', '직함', '식구가', '하나', '더', '늘다', '아기가', '태어나다', '게다가', '더구나', '그', '위에', '에', '더하여', '외에', '또']"
